function name,avg time,min time,max time,std dev
serial_copy_500,0.5436666666666666,0.517,0.592,0.04193248541803039
vector_copy_500,,,,
look_and_say_sequence_40,0.1034721,0.0984224,0.1060703,0.004373783578322099
count_words_dictionary_bible.txt,,,,
count_words_set_bible.txt,0.7792834333333334,0.7653472,0.7886071,0.01229685185091426
iterative_fibonacci_25,5.866666666666667e-06,2.2e-06,1.32e-05,6.350852961085884e-06
recursive_fibonacci_25,4.1185640999999995,4.0916409,4.1427171,0.02565053718033982
matrix_multiplication_2000,103.77766666666666,90.261,118.697,14.269797802818841
belief_propagation_1000,242.83033333333333,242.047,243.516,0.7393539973066551
markov_chain_function_15000,0.005,0.005,0.005,0.0
compute_FFT,,,,
loop_solver_200,4.5729999999999995,4.521,4.643,0.06296030495478874
vectorized_solver_200,,,,
compute_quadrature_10,0.0,0.0,0.0,0.0
evaluate_functions_100000,956.782,779.713,1058.616,153.92189503446224
