function name,avg time,std dev
serial_copy,0.472,0.011269427669584622
vector_copy,,
look_and_say_sequence,0.26021224,0.029195512786184714
count_words_dictionary,,
count_words_set,1.7948341166666666,0.15251287445720038
iterative_fibonacci,5.517777777777778e-06,6.660288615701609e-07
recursive_fibonacci,7.533923011111111,0.45135777441243097
matrix_multiplication,167.73316666666665,4.539802172635573
belief_propagation,385.72950000000003,9.233246769148979
markov_chain_function,0.008166666666666666,0.00040824829046386265
compute_FFT,,
loop_solver,6.838666666666667,0.1817324040083843
vectorized_solver,,
compute_quadrature,0.0,0.0
evaluate_functions,560.9451666666666,11.757990940916194
